crash_id,timecat_id
20243075,1
20244051,2
20241070,3
20244079,3
20243051,3
20242237,3
20243148,3
20242157,4
20244022,4
20241142,4
20241124,4
20241010,6
20241252,5
20243155,1
20243163,1
20243269,6
20243056,1
20243049,1
20243103,1
20242233,1
20243014,3
20241198,3
20242249,3
20243154,3
20241100,4
20241074,4
20243263,4
20242016,4
20244017,4
20244009,6
20242085,6
20244012,5
20243205,1
20241035,1
20241161,2
20241062,6
20243119,5
20241155,5
20243152,1
20243053,2
20241039,2
20242154,2
20243215,2
20243026,3
20241050,3
20243271,4
20241133,4
20248008,6
20244037,1
20242143,1
20241273,1
20242067,2
20242214,3
20243238,4
20242011,4
20241180,6
20241059,6
20241021,6
20242254,1
20243256,1
20241245,1
20243126,4
20244082,4
20241108,4
20242137,5
20241005,5
20241051,5
20243128,1
20242109,1
20241116,1
20243226,4
20242092,6
20242125,5
20244077,4
20242049,6
20243265,6
20243122,1
20243151,4
20241283,4
20242262,6
20242100,6
20242211,6
20241168,5
20241162,1
20241073,1
20243097,1
20242182,2
20243123,3
20242044,4
20241120,6
20242266,5
20241048,1
20243023,1
20243137,1
20241200,2
20242151,2
20242223,2
20241259,2
20241264,3
20243086,4
20242215,4
20246012,4
20244068,6
20241296,5
20241006,5
20241258,1
20241290,1
20241056,1
20242014,1
20241251,1
20243076,2
20243162,2
20242027,4
20243029,4
20242179,4
20244080,4
20242241,6
20244047,6
20241041,5
20241165,5
20242077,5
20242078,5
20242017,1
20243223,1
20241271,1
20242217,4
20242245,4
20241170,4
20242199,4
20241177,4
20246015,4
20242165,5
20241011,5
20243260,1
20241083,1
20246006,2
20244058,4
20243218,4
20241089,4
20243146,4
20241295,4
20243264,6
20241136,6
20241281,6
20241076,5
20244073,5
20242094,1
20241058,1
20241019,2
20241275,2
20243222,3
20241065,3
20243094,3
20243145,4
20241305,5
20242146,1
20241231,1
20241145,1
20241228,1
20243030,1
20243034,2
20242058,3
20241085,3
20243091,3
20243184,4
20242104,4
20248004,4
20242101,4
20243195,4
20243055,5
20241212,1
20241241,1
20243071,1
20241171,1
20243193,2
20244011,2
20242225,2
20242160,2
20241183,3
20241025,4
20241079,4
20246010,4
20242235,4
20242113,4
20242025,4
20241148,4
20241262,5
20241172,1
20242192,3
20241014,3
20242191,4
20243189,4
20244033,4
20241206,4
20243069,6
20243188,6
20241130,5
20241178,1
20248011,1
20241043,4
20244054,4
20243032,4
20244015,6
20243112,6
20243253,1
20246028,1
20242244,1
20244006,1
20241154,1
20241146,1
20242009,1
20241217,3
20242030,4
20243025,4
20242168,4
20246021,4
20241238,4
20241158,4
20243228,6
20242210,6
20242253,6
20242256,5
20241289,5
20243045,1
20242028,1
20243054,1
20241187,1
20246007,1
20241126,3
20244049,4
20242021,4
20242045,5
20243101,1
20242206,1
20242117,2
20241226,3
20242079,4
20241156,4
20243093,6
20243125,5
20243134,5
20242239,1
20241232,1
20241061,1
20244056,3
20242039,3
20241182,3
20241044,4
20242131,4
20244031,6
20242059,5
20242033,1
20241207,1
20243033,1
20242159,1
20243177,1
20243241,1
20243132,1
20243159,2
20242072,3
20243028,3
20243105,3
20242258,4
20241007,4
20241227,4
20243130,4
20242065,6
20243259,6
20244052,6
20242247,5
20241093,5
20241276,1
20242208,1
20241157,2
20244065,2
20242054,3
20242221,4
20242197,6
20241075,5
20241279,1
20243095,1
20243272,2
20243027,4
20248001,4
20242228,5
20242105,1
20241069,2
20244074,2
20244008,2
20243100,3
20241122,3
20244064,3
20243138,3
20241141,4
20241244,4
20242236,4
20242195,4
20242010,6
20242205,6
20244002,5
20242041,5
20242084,1
20243230,1
20241114,1
20243068,2
20243099,2
20242145,3
20243062,4
20244048,4
20241112,6
20243047,6
20242198,6
20243202,1
20244029,1
20241185,1
20242153,1
20243257,1
20243149,3
20242202,3
20243245,4
20244004,4
20241123,4
20242222,4
20242248,4
20241213,5
20242220,5
20242047,1
20243270,1
20241121,2
20243016,3
20241038,3
20243200,3
20243039,3
20242246,4
20242063,4
20243180,4
20241297,5
20243059,5
20242242,5
20242091,2
20243077,2
20244038,4
20243136,4
20243211,4
20241270,6
20241225,6
20241084,5
20243050,1
20243216,2
20242190,2
20243115,2
20242116,3
20241129,3
20244076,4
20243141,5
20241095,5
20242082,2
20241090,3
20241113,3
20243258,4
20244053,4
20241064,4
20243175,4
20243183,5
20241049,5
20241242,2
20241144,3
20243262,3
20241001,4
20242231,6
20241018,6
20241105,6
20241282,6
20243204,5
20243224,5
20243179,1
20241192,1
20241026,2
20241067,4
20242001,4
20243013,6
20241191,6
20242031,5
