vehicle_id,crash_id,bus_flag,heavy_rigid_flag,articulated_flag,State,vehicle_type
1717,20234075,False,False,False,SA,Other
1718,20232053,False,False,False,VIC,Other
1719,20233037,False,False,True,QLD,Articulated Truck
1720,20233048,False,False,False,QLD,Other
1721,20234014,False,False,False,SA,Other
1722,20232055,False,True,False,VIC,Heavy Rigid Truck
1723,20232148,False,True,False,VIC,Heavy Rigid Truck
1724,20232060,False,True,False,VIC,Heavy Rigid Truck
1725,20232162,False,False,False,VIC,Other
1726,20232100,False,False,True,VIC,Articulated Truck
1727,20232233,False,False,True,VIC,Articulated Truck
1728,20236033,False,False,False,TAS,Other
1729,20232105,False,False,False,VIC,Other
1730,20232013,False,False,False,VIC,Other
1731,20233225,False,False,False,QLD,Other
1732,20232221,False,False,False,VIC,Other
1733,20233147,False,False,True,QLD,Articulated Truck
1734,20234076,False,False,False,SA,Other
1735,20232176,False,False,False,VIC,Other
1736,20231006,False,False,False,NSW,Other
1737,20233023,False,False,False,QLD,Other
1738,20233182,False,False,False,QLD,Other
1739,20232132,False,False,False,VIC,Other
1740,20232160,False,False,False,VIC,Other
1741,20232036,False,False,False,VIC,Other
1742,20233041,False,False,False,QLD,Other
1743,20232179,False,False,False,VIC,Other
1744,20232041,False,False,False,VIC,Other
1745,20232253,False,False,False,VIC,Other
1746,20233080,False,False,False,QLD,Other
1747,20231197,False,False,False,NSW,Other
1748,20233124,False,False,True,QLD,Articulated Truck
1749,20233236,False,False,False,QLD,Other
1750,20231213,False,False,False,NSW,Other
1751,20234081,False,False,False,SA,Other
1752,20231041,False,False,False,NSW,Other
1753,20233101,False,False,True,QLD,Articulated Truck
1754,20232155,False,False,False,VIC,Other
1755,20231282,False,False,False,NSW,Other
1756,20234103,False,False,False,SA,Other
1757,20234097,False,False,False,SA,Other
1758,20232003,False,False,False,VIC,Other
1759,20231196,False,True,False,NSW,Heavy Rigid Truck
1760,20232078,False,False,False,VIC,Other
1761,20233149,False,True,False,QLD,Heavy Rigid Truck
1762,20232164,False,False,True,VIC,Articulated Truck
1763,20231001,False,False,False,NSW,Other
1764,20231060,False,False,False,NSW,Other
1765,20233188,False,False,False,QLD,Other
1766,20233129,False,False,False,QLD,Other
1767,20232161,False,False,False,VIC,Other
1768,20233003,False,False,False,QLD,Other
1769,20231166,False,False,False,NSW,Other
1770,20232234,False,False,False,VIC,Other
1771,20236001,False,False,False,TAS,Other
1772,20231277,False,False,False,NSW,Other
1773,20234039,False,False,False,SA,Other
1774,20233047,False,False,False,QLD,Other
1775,20234043,False,False,False,SA,Other
1776,20231014,False,False,False,NSW,Other
1777,20233031,False,False,False,QLD,Other
1778,20233164,False,True,False,QLD,Heavy Rigid Truck
1779,20234003,False,False,False,SA,Other
1780,20237004,False,False,False,NT,Other
1781,20234023,False,False,False,SA,Other
1782,20232039,False,False,False,VIC,Other
1783,20232092,False,False,False,VIC,Other
1784,20233239,False,False,False,QLD,Other
1785,20233158,False,False,False,QLD,Other
1786,20232008,False,False,False,VIC,Other
1787,20232139,False,False,False,VIC,Other
1788,20231013,False,False,False,NSW,Other
1789,20231123,False,False,False,NSW,Other
1790,20232019,False,False,False,VIC,Other
1791,20236021,False,False,False,TAS,Other
1792,20238002,False,False,False,ACT,Other
1793,20232122,False,False,False,VIC,Other
1794,20232111,False,False,False,VIC,Other
1795,20234007,False,False,False,SA,Other
1796,20231240,False,False,False,NSW,Other
1797,20231099,False,False,False,NSW,Other
1798,20231161,False,False,False,NSW,Other
1799,20232259,False,False,False,VIC,Other
1800,20233174,False,True,True,QLD,Heavy Rigid Truck
1801,20232101,False,False,False,VIC,Other
1802,20232120,False,False,False,VIC,Other
1803,20236013,False,False,False,TAS,Other
1804,20233253,False,False,False,QLD,Other
1805,20231209,False,False,False,NSW,Other
1806,20231107,False,False,False,NSW,Other
1807,20234083,False,False,False,SA,Other
1808,20234046,False,False,False,SA,Other
1809,20233092,False,False,False,QLD,Other
1810,20232082,False,False,False,VIC,Other
1811,20232177,False,False,False,VIC,Other
1812,20233255,False,False,False,QLD,Other
1813,20232142,False,False,False,VIC,Other
1814,20221099,False,False,False,NSW,Other
1815,20221136,False,False,False,NSW,Other
1816,20221056,False,False,False,NSW,Other
1817,20221035,False,False,False,NSW,Other
1818,20221187,False,False,False,NSW,Other
1819,20221203,True,True,False,NSW,Bus
1820,20223053,False,False,False,QLD,Other
1821,20221170,False,False,False,NSW,Other
1822,20221220,False,False,False,NSW,Other
1823,20221184,False,False,False,NSW,Other
1824,20224015,False,False,False,SA,Other
1825,20221079,False,False,False,NSW,Other
1826,20221252,False,False,False,NSW,Other
1827,20224050,False,False,False,SA,Other
1828,20223141,False,False,False,QLD,Other
1829,20223045,False,False,False,QLD,Other
1830,20221135,False,False,False,NSW,Other
1831,20223271,False,False,False,QLD,Other
1832,20223108,False,False,False,QLD,Other
1833,20221109,False,False,False,NSW,Other
1834,20223173,False,False,True,QLD,Articulated Truck
1835,20223123,False,False,False,QLD,Other
1836,20226027,False,False,False,TAS,Other
1837,20223253,False,False,False,QLD,Other
1838,20223174,False,False,False,QLD,Other
1839,20224019,False,False,False,SA,Other
1840,20223023,False,False,False,QLD,Other
1841,20227028,False,False,False,NT,Other
1842,20221166,False,False,False,NSW,Other
1843,20223107,False,False,False,QLD,Other
1844,20223239,False,False,False,QLD,Other
1845,20223148,False,True,False,QLD,Heavy Rigid Truck
1846,20221143,False,False,False,NSW,Other
1847,20221248,False,False,True,NSW,Articulated Truck
1848,20221194,False,False,False,NSW,Other
1849,20223046,False,False,False,QLD,Other
1850,20223093,False,False,False,QLD,Other
1851,20221112,False,False,False,NSW,Other
1852,20223058,False,False,False,QLD,Other
1853,20221012,False,False,True,NSW,Articulated Truck
1854,20221015,False,False,False,NSW,Other
1855,20223201,False,False,False,QLD,Other
1856,20221202,False,False,False,NSW,Other
1857,20221061,False,False,False,NSW,Other
1858,20224062,False,False,False,SA,Other
1859,20221047,False,False,False,NSW,Other
1860,20221009,False,False,False,NSW,Other
1861,20223090,False,False,False,QLD,Other
1862,20221150,False,False,False,NSW,Other
1863,20223163,False,True,True,QLD,Heavy Rigid Truck
1864,20223199,False,False,False,QLD,Other
1865,20221082,True,False,False,NSW,Bus
1866,20223181,False,False,False,QLD,Other
1867,20224055,False,False,False,SA,Other
1868,20223206,False,False,False,QLD,Other
1869,20224032,False,False,False,SA,Other
1870,20222052,False,False,False,VIC,Other
1871,20221262,False,False,False,NSW,Other
1872,20222106,False,False,False,VIC,Other
1873,20226038,False,False,False,TAS,Other
1874,20223272,False,True,False,QLD,Heavy Rigid Truck
1875,20222098,False,False,False,VIC,Other
1876,20224002,False,False,False,SA,Other
1877,20221087,False,False,False,NSW,Other
1878,20222108,False,False,False,VIC,Other
1879,20223062,False,False,False,QLD,Other
1880,20224013,False,False,False,SA,Other
1881,20222182,False,False,False,VIC,Other
1882,20223051,False,False,False,QLD,Other
1883,20221233,False,False,True,NSW,Articulated Truck
1884,20221105,False,False,False,NSW,Other
1885,20226040,False,False,False,TAS,Other
1886,20221078,False,False,False,NSW,Other
1887,20223219,False,False,False,QLD,Other
1888,20222012,False,False,False,VIC,Other
1889,20223091,False,False,False,QLD,Other
1890,20222013,False,False,False,VIC,Other
1891,20222016,False,False,False,VIC,Other
1892,20223074,False,False,False,QLD,Other
1893,20223071,False,False,False,QLD,Other
1894,20221013,False,False,False,NSW,Other
1895,20221086,False,False,False,NSW,Other
1896,20223099,False,False,False,QLD,Other
1897,20223158,False,False,False,QLD,Other
1898,20221189,False,False,False,NSW,Other
1899,20223078,False,False,False,QLD,Other
1900,20226034,False,False,False,TAS,Other
1901,20221103,False,False,False,NSW,Other
1902,20222004,False,False,False,VIC,Other
1903,20224054,False,False,False,SA,Other
1904,20223150,False,False,False,QLD,Other
1905,20221181,False,False,False,NSW,Other
1906,20221215,False,False,False,NSW,Other
1907,20223113,False,False,False,QLD,Other
1908,20223018,False,False,False,QLD,Other
1909,20223223,False,False,False,QLD,Other
1910,20221040,False,False,False,NSW,Other
1911,20222023,False,False,False,VIC,Other
1912,20221042,False,False,False,NSW,Other
1913,20223010,False,False,False,QLD,Other
1914,20223012,False,False,False,QLD,Other
1915,20222220,False,False,False,VIC,Other
1916,20221031,False,False,False,NSW,Other
1917,20222015,False,False,False,VIC,Other
1918,20223028,False,False,False,QLD,Other
1919,20222196,False,False,False,VIC,Other
1920,20221081,False,True,False,NSW,Heavy Rigid Truck
1921,20221188,False,True,False,NSW,Heavy Rigid Truck
1922,20221173,False,False,False,NSW,Other
1923,20221131,False,False,False,NSW,Other
1924,20222159,False,False,False,VIC,Other
1925,20223052,False,False,False,QLD,Other
1926,20223138,False,False,False,QLD,Other
1927,20222031,False,False,False,VIC,Other
1928,20223064,False,False,False,QLD,Other
1929,20222121,False,False,False,VIC,Other
1930,20227002,False,False,False,NT,Other
1931,20223198,False,False,False,QLD,Other
1932,20223101,False,False,True,QLD,Articulated Truck
1933,20221110,False,False,False,NSW,Other
1934,20222177,False,False,False,VIC,Other
1935,20221116,False,False,True,NSW,Articulated Truck
1936,20226041,False,True,False,TAS,Heavy Rigid Truck
1937,20221161,False,False,False,NSW,Other
1938,20224037,False,False,False,SA,Other
1939,20222036,False,False,False,VIC,Other
1940,20221011,False,False,True,NSW,Articulated Truck
1941,20223065,False,False,False,QLD,Other
1942,20221205,False,False,False,NSW,Other
1943,20224025,False,False,False,SA,Other
1944,20223029,False,True,False,QLD,Heavy Rigid Truck
1945,20223220,False,False,False,QLD,Other
1946,20222051,False,False,False,VIC,Other
1947,20221074,False,False,False,NSW,Other
1948,20223131,False,False,False,QLD,Other
1949,20222157,False,False,False,VIC,Other
1950,20226044,False,True,False,TAS,Heavy Rigid Truck
1951,20227017,False,False,False,NT,Other
1952,20223248,False,False,False,QLD,Other
1953,20223044,False,False,False,QLD,Other
1954,20227040,True,False,False,NT,Bus
1955,20222163,False,False,False,VIC,Other
1956,20222217,False,False,False,VIC,Other
1957,20223024,False,False,False,QLD,Other
1958,20221175,False,False,False,NSW,Other
1959,20222207,False,False,False,VIC,Other
1960,20224012,False,False,False,SA,Other
1961,20221052,False,False,False,NSW,Other
1962,20222178,False,False,False,VIC,Other
1963,20221191,False,False,False,NSW,Other
1964,20221051,False,False,False,NSW,Other
1965,20223050,False,False,False,QLD,Other
1966,20221234,False,False,False,NSW,Other
1967,20222068,False,False,False,VIC,Other
1968,20226023,False,False,False,TAS,Other
1969,20221002,False,False,False,NSW,Other
1970,20222126,False,False,False,VIC,Other
1971,20222102,False,False,False,VIC,Other
1972,20221176,False,False,False,NSW,Other
1973,20226011,False,False,False,TAS,Other
1974,20221037,False,False,False,NSW,Other
1975,20222139,False,False,False,VIC,Other
1976,20228002,False,False,False,ACT,Other
1977,20222211,False,False,True,VIC,Articulated Truck
1978,20221077,False,False,False,NSW,Other
1979,20223059,False,False,False,QLD,Other
1980,20223129,False,False,False,QLD,Other
1981,20228009,False,False,False,ACT,Other
1982,20223252,False,False,False,QLD,Other
1983,20224044,False,False,False,SA,Other
1984,20222032,False,False,False,VIC,Other
1985,20223146,False,False,False,QLD,Other
1986,20221102,False,False,False,NSW,Other
1987,20228007,False,False,False,ACT,Other
1988,20221245,False,False,False,NSW,Other
