crash_id,num_fatalities
20242049,1
20243265,1
20243122,1
20243151,1
20241283,1
20242262,1
20242100,1
20242211,1
20241168,2
20241162,2
20241073,1
20243097,3
20242182,1
20243123,1
20242044,1
20241120,1
20242266,1
20241048,1
20243023,1
20243137,1
20241200,1
20242151,2
20242223,1
20241259,1
20241264,1
20243086,1
20242215,1
20246012,1
20244068,1
20241296,1
20241006,2
20241258,1
20241290,2
20241056,1
20242014,1
20241251,1
20243076,1
20243162,1
20242027,1
20243029,2
20242179,1
20244080,1
20242241,1
20244047,1
20241041,1
20241165,1
20242077,1
20242078,1
20242017,1
20243223,1
20241271,1
20242217,1
20242245,1
20241170,1
20242199,1
20241177,1
20246015,1
20242165,1
20241011,1
20243260,3
20241083,2
20246006,1
20244058,1
20243218,1
20241089,1
20243146,1
20241295,1
20243264,1
20241136,2
20241281,1
20241076,1
20244073,1
20242094,1
20241058,1
20241019,1
20241275,1
20243222,1
20241065,1
20243094,1
20243145,1
20241305,1
20242146,2
20241231,1
20241145,1
20241228,1
20243030,1
20243034,1
20242058,1
20241085,1
20243091,1
20243184,1
20242104,1
20248004,1
20242101,1
20243195,1
20243055,1
20241212,1
20241241,1
20243071,1
20241171,1
20243193,2
20244011,3
20242225,1
20242160,1
20241183,1
20241025,1
20241079,2
20246010,1
20242235,1
20242113,1
20242025,1
20241148,1
20241262,1
20241172,1
20242192,1
20241014,1
20242191,1
20243189,1
20244033,1
20241206,1
20243069,1
20243188,1
20241130,1
20241178,2
20248011,1
20241043,1
20244054,1
20243032,1
20244015,1
20243112,1
20243253,1
20246028,1
20242244,1
20244006,1
20241154,1
20241146,1
20242009,1
20241217,1
20242030,1
20243025,1
20242168,1
20246021,1
20241238,1
20241158,1
20243228,1
20242210,1
20242253,1
20242256,1
20241289,1
20243045,3
20242028,1
20243054,1
20241187,1
20246007,1
20241126,1
20244049,1
20242021,1
20242045,1
20243101,1
20242206,1
20242117,1
20241226,1
20242079,1
20241156,1
20243093,1
20243125,1
20243134,1
20242239,1
20241232,1
20241061,1
20244056,1
20242039,1
20241182,1
20241044,1
20242131,1
20244031,2
20242059,1
20242033,1
20241207,1
20243033,1
20242159,1
20243177,1
20243241,1
20243132,1
20243159,1
20242072,1
20243028,1
20243105,1
20242258,1
20241007,1
20241227,1
20243130,1
20242065,1
20243259,1
20244052,1
20242247,2
20241093,1
20241276,1
20242208,1
20241157,1
20244065,1
20242054,1
20242221,1
20242197,1
20241075,1
20241279,1
20243095,1
20243272,1
20243027,1
20248001,1
20242228,1
20242105,1
20241069,1
20244074,2
20244008,1
20243100,1
20241122,1
20244064,1
20243138,1
20241141,1
20241244,1
20242236,1
20242195,1
20242010,1
20242205,1
20244002,1
20242041,1
20242084,1
20243230,1
20241114,1
20243068,1
20243099,1
20242145,1
20243062,1
20244048,1
20241112,1
20243047,1
20242198,1
20243202,2
20244029,1
20241185,4
20242153,1
20243257,1
20243149,1
20242202,1
20243245,1
20244004,1
20241123,1
20242222,1
20242248,1
20241213,3
20242220,1
20242047,1
20243270,1
20241121,1
20243016,1
20241038,1
20243200,1
20243039,1
20242246,1
20242063,1
20243180,1
20241297,1
20243059,1
20242242,1
20242091,1
20243077,1
20244038,1
20243136,1
20243211,1
20241270,1
20241225,1
20241084,1
20243050,1
20243216,1
20242190,1
20243115,1
20242116,1
20241129,1
20244076,1
20243141,1
20241095,1
20242082,1
20241090,1
20241113,1
20243258,1
20244053,1
20241064,1
20243175,1
20243183,1
20241049,1
20241242,1
20241144,1
20243262,1
20241001,1
