user_id,crash_id,age,gender,role,age_group,deceased
3312,20212055,1,Male,Passenger,0_to_16,True
3313,20212055,8,Female,Passenger,0_to_16,True
3314,20212151,51,Female,Driver,40_to_64,True
3315,20213084,51,Male,Motorcycle rider,40_to_64,True
3316,20215028,69,Female,Driver,65_to_74,True
3317,20216031,75,Female,Passenger,75_or_older,True
3318,20216031,45,Male,Passenger,40_to_64,True
3319,20217010,29,Female,Passenger,26_to_39,True
3320,20211237,82,Male,Driver,75_or_older,True
3321,20211197,35,Male,Driver,26_to_39,True
3322,20215002,71,Male,Pedestrian,65_to_74,True
3323,20211160,49,Male,Driver,40_to_64,True
3324,20215022,27,Male,Driver,26_to_39,True
3325,20213113,77,Male,Driver,75_or_older,True
3326,20213133,79,Female,Passenger,75_or_older,True
3327,20213232,40,Male,Driver,40_to_64,True
3328,20215030,40,Male,Motorcycle rider,40_to_64,True
3329,20212175,24,Male,Driver,17_to_25,True
3330,20213096,29,Male,Driver,26_to_39,True
3331,20213096,40,Male,Passenger,40_to_64,True
3332,20211029,76,Male,Driver,75_or_older,True
3333,20211029,70,Male,Passenger,65_to_74,True
3334,20213085,83,Female,Passenger,75_or_older,True
3335,20213040,70,Male,Pedal cyclist,65_to_74,True
3336,20213126,69,Male,Driver,65_to_74,True
3337,20213222,17,Male,Pedestrian,17_to_25,True
3338,20211244,20,Male,Driver,17_to_25,True
3339,20215038,20,Male,Driver,17_to_25,True
3340,20213217,27,Male,Driver,26_to_39,True
3341,20213066,70,Male,Driver,65_to_74,True
3342,20211172,18,Male,Motorcycle rider,17_to_25,True
3343,20211125,34,Male,Driver,26_to_39,True
3344,20217006,15,Male,Pedestrian,0_to_16,True
3345,20216020,45,Male,Motorcycle rider,40_to_64,True
3346,20215049,43,Male,Driver,40_to_64,True
3347,20213058,31,Male,Driver,26_to_39,True
3348,20212058,36,Male,Driver,26_to_39,True
3349,20212058,46,Female,Passenger,40_to_64,True
3350,20216025,56,Male,Driver,40_to_64,True
3351,20215145,21,Male,Pedestrian,17_to_25,True
3352,20213218,18,Male,Passenger,17_to_25,True
3353,20214017,18,Male,Driver,17_to_25,True
3354,20212023,26,Male,Motorcycle rider,26_to_39,True
3355,20212014,85,Male,Driver,75_or_older,True
3356,20213028,60,Female,Driver,40_to_64,True
3357,20213023,40,Female,Motorcycle rider,40_to_64,True
3358,20212171,16,Male,Pedestrian,0_to_16,True
3359,20211118,86,Male,Driver,75_or_older,True
3360,20213248,85,Male,Passenger,75_or_older,True
3361,20214070,85,Female,Passenger,75_or_older,True
3362,20214070,90,Male,Driver,75_or_older,True
3363,20212076,19,Female,Passenger,17_to_25,True
3364,20212076,16,Male,Passenger,0_to_16,True
3365,20213024,59,Male,Motorcycle rider,40_to_64,True
3366,20217023,50,Male,Motorcycle rider,40_to_64,True
3367,20213142,46,Male,Driver,40_to_64,True
3368,20213139,77,Male,Pedestrian,75_or_older,True
3369,20212071,50,Male,Driver,40_to_64,True
3370,20211220,48,Male,Driver,40_to_64,True
3371,20211236,18,Male,Driver,17_to_25,True
3372,20216033,79,Female,Pedestrian,75_or_older,True
3373,20214028,68,Male,Driver,65_to_74,True
3374,20212118,20,Male,Driver,17_to_25,True
3375,20211057,64,Male,Driver,40_to_64,True
3376,20213196,25,Male,Motorcycle rider,17_to_25,True
3377,20212074,63,Female,Pedestrian,40_to_64,True
3378,20211126,58,Male,Driver,40_to_64,True
3379,20211045,86,Female,Driver,75_or_older,True
3380,20215110,37,Female,Driver,26_to_39,True
3381,20212210,80,Male,Pedestrian,75_or_older,True
3382,20215015,82,Female,Passenger,75_or_older,True
3383,20216029,57,Male,Driver,40_to_64,True
3384,20211113,79,Female,Driver,75_or_older,True
3385,20213192,77,Female,Passenger,75_or_older,True
3386,20213118,60,Male,Driver,40_to_64,True
3387,20213019,54,Female,Passenger,40_to_64,True
3388,20212124,45,Male,Driver,40_to_64,True
3389,20213012,24,Female,Driver,17_to_25,True
3390,20212187,77,Male,Driver,75_or_older,True
3391,20212044,58,Male,Driver,40_to_64,True
3392,20212109,30,Male,Driver,26_to_39,True
3393,20215007,31,Male,Motorcycle rider,26_to_39,True
3394,20213016,58,Male,Passenger,40_to_64,True
3395,20213016,59,Male,Driver,40_to_64,True
3396,20213016,45,Male,Driver,40_to_64,True
3397,20211249,33,Male,Passenger,26_to_39,True
3398,20212005,22,Male,Driver,17_to_25,True
3399,20211088,15,Male,Pedestrian,0_to_16,True
3400,20215123,58,Male,Driver,40_to_64,True
3401,20213010,18,Male,Driver,17_to_25,True
3402,20213010,17,Male,Passenger,17_to_25,True
3403,20214066,19,Male,Driver,17_to_25,True
3404,20213120,20,Female,Passenger,17_to_25,True
3405,20212088,63,Female,Pedestrian,40_to_64,True
3406,20215091,29,Male,Motorcycle rider,26_to_39,True
3407,20215153,82,Female,Pedestrian,75_or_older,True
3408,20214078,73,Male,Driver,65_to_74,True
3409,20216024,25,Female,Driver,17_to_25,True
3410,20216024,36,Male,Passenger,26_to_39,True
3411,20213073,59,Male,Driver,40_to_64,True
3412,20211148,19,Male,Motorcycle rider,17_to_25,True
3413,20213103,17,Male,Motorcycle rider,17_to_25,True
3414,20212180,68,Female,Passenger,65_to_74,True
3415,20216028,22,Male,Driver,17_to_25,True
3416,20215139,18,Male,Driver,17_to_25,True
3417,20213231,31,Female,Driver,26_to_39,True
3418,20213237,35,Male,Passenger,26_to_39,True
3419,20211260,40,Male,Motorcycle rider,40_to_64,True
3420,20217015,37,Male,Pedestrian,26_to_39,True
3421,20211049,53,Male,Pedestrian,40_to_64,True
3422,20215082,34,Male,Driver,26_to_39,True
3423,20214012,51,Female,Passenger,40_to_64,True
3424,20215131,73,Male,Driver,65_to_74,True
3425,20212050,78,Female,Pedestrian,75_or_older,True
3426,20213238,39,Female,Driver,26_to_39,True
3427,20212079,67,Male,Passenger,65_to_74,True
3428,20214016,33,Male,Driver,26_to_39,True
3429,20211026,27,Male,Motorcycle rider,26_to_39,True
3430,20215005,28,Male,Driver,26_to_39,True
3431,20212096,52,Male,Driver,40_to_64,True
3432,20213078,17,Male,Motorcycle rider,17_to_25,True
3433,20213004,28,Female,Passenger,26_to_39,True
3434,20213097,24,Male,Pedestrian,17_to_25,True
3435,20212189,18,Male,Driver,17_to_25,True
3436,20212189,18,Male,Passenger,17_to_25,True
3437,20211050,19,Male,Driver,17_to_25,True
3438,20212052,27,Male,Driver,26_to_39,True
3439,20217024,30,Female,Passenger,26_to_39,True
3440,20213039,60,Female,Driver,40_to_64,True
3441,20213107,55,Male,Motorcycle rider,40_to_64,True
3442,20216006,46,Female,Passenger,40_to_64,True
3443,20216006,46,Male,Driver,40_to_64,True
3444,20215046,34,Male,Driver,26_to_39,True
3445,20211068,52,Male,Pedestrian,40_to_64,True
3446,20212147,26,Male,Motorcycle rider,26_to_39,True
3447,20217016,36,Male,Driver,26_to_39,True
3448,20213080,35,Female,Passenger,26_to_39,True
3449,20213080,7,Male,Passenger,0_to_16,True
3450,20213080,5,Female,Passenger,0_to_16,True
3451,20215143,27,Male,Driver,26_to_39,True
3452,20212149,63,Male,Driver,40_to_64,True
3453,20213035,29,Female,Passenger,26_to_39,True
3454,20213035,12,Female,Passenger,0_to_16,True
3455,20211239,55,Female,Driver,40_to_64,True
3456,20211064,40,Male,Driver,40_to_64,True
3457,20217031,49,Male,Driver,40_to_64,True
3458,20214025,9,Male,Passenger,0_to_16,True
3459,20212158,45,Male,Motorcycle rider,40_to_64,True
3460,20216019,33,Male,Passenger,26_to_39,True
3461,20211241,27,Male,Motorcycle rider,26_to_39,True
3462,20211221,51,Male,Pedestrian,40_to_64,True
3463,20212002,57,Male,Driver,40_to_64,True
3464,20213029,19,Female,Driver,17_to_25,True
3465,20211120,44,Male,Driver,40_to_64,True
3466,20212039,79,Female,Pedal cyclist,75_or_older,True
3467,20212063,84,Female,Driver,75_or_older,True
3468,20213005,31,Male,Motorcycle rider,26_to_39,True
3469,20211040,55,Male,Motorcycle rider,40_to_64,True
3470,20212148,17,Male,Passenger,17_to_25,True
3471,20215061,52,Male,Passenger,40_to_64,True
3472,20213169,39,Female,Driver,26_to_39,True
3473,20213017,23,Male,Driver,17_to_25,True
3474,20213169,56,Male,Driver,40_to_64,True
3475,20214014,66,Male,Motorcycle rider,65_to_74,True
3476,20215052,86,Male,Pedestrian,75_or_older,True
3477,20214021,64,Female,Pedestrian,40_to_64,True
3478,20211012,87,Male,Pedestrian,75_or_older,True
3479,20213182,59,Male,Motorcycle rider,40_to_64,True
3480,20211175,78,Female,Pedestrian,75_or_older,True
3481,20214024,61,Female,Passenger,40_to_64,True
3482,20214024,40,Male,Driver,40_to_64,True
3483,20211196,33,Male,Driver,26_to_39,True
3484,20217019,53,Female,Pedestrian,40_to_64,True
3485,20213160,21,Male,Driver,17_to_25,True
3486,20211062,26,Male,Driver,26_to_39,True
3487,20212038,56,Male,Passenger,40_to_64,True
3488,20213079,29,Female,Passenger,26_to_39,True
3489,20214072,36,Male,Passenger,26_to_39,True
3490,20211038,89,Male,Pedestrian,75_or_older,True
3491,20217028,30,Male,Driver,26_to_39,True
3492,20211227,88,Male,Pedestrian,75_or_older,True
3493,20218003,84,Male,Pedestrian,75_or_older,True
3494,20212204,75,Female,Pedestrian,75_or_older,True
3495,20211047,23,Male,Driver,17_to_25,True
3496,20213219,45,Male,Pedestrian,40_to_64,True
3497,20213180,86,Male,Driver,75_or_older,True
3498,20212177,36,Male,Driver,26_to_39,True
3499,20213054,18,Male,Driver,17_to_25,True
3500,20212182,53,Female,Pedestrian,40_to_64,True
3501,20212022,66,Male,Driver,65_to_74,True
3502,20211003,31,Male,Motorcycle rider,26_to_39,True
3503,20211072,68,Male,Pedestrian,65_to_74,True
3504,20213200,40,Male,Motorcycle rider,40_to_64,True
3505,20213038,37,Female,Driver,26_to_39,True
3506,20211074,50,Male,Motorcycle rider,40_to_64,True
3507,20211028,27,Male,Driver,26_to_39,True
3508,20214052,50,Male,Driver,40_to_64,True
3509,20213077,84,Male,Passenger,75_or_older,True
3510,20211115,19,Female,Driver,17_to_25,True
3511,20211014,83,Female,Pedestrian,75_or_older,True
3512,20212165,67,Female,Driver,65_to_74,True
