Crash ID,bus_flag,heavy_rigid_flag,articulated_flag,vehicle_type,vehicle_id
20241104,False,False,False,Other,868
20243182,False,False,False,Other,869
20242180,False,True,False,Heavy Rigid Truck,870
20242126,False,False,False,Other,871
20241023,False,False,False,Other,872
20243065,False,False,False,Other,873
20243083,False,False,False,Other,874
20244070,False,False,False,Other,875
20243048,False,False,False,Other,876
20241280,False,False,True,Articulated Truck,877
20242118,False,False,False,Other,878
20241193,False,False,True,Articulated Truck,879
20242150,False,False,False,Other,880
20241239,False,False,False,Other,881
20242111,False,False,False,Other,882
20243255,False,False,False,Other,883
20241033,False,False,False,Other,884
20241288,False,False,False,Other,885
20243012,False,False,False,Other,886
20241164,False,False,False,Other,887
20243250,False,False,False,Other,888
20242076,False,False,False,Other,889
20241099,False,False,False,Other,890
20243052,False,False,False,Other,891
20241015,False,False,False,Other,892
20243219,False,False,True,Articulated Truck,893
20241184,False,False,False,Other,894
20241284,False,False,False,Other,895
20242218,False,False,False,Other,896
20241008,False,False,False,Other,897
20244075,False,False,False,Other,898
20242147,False,False,False,Other,899
20248010,False,False,False,Other,900
20234108,False,False,False,Other,901
20234099,False,False,False,Other,902
20233145,False,False,True,Articulated Truck,903
20236026,False,False,False,Other,904
20233259,False,False,False,Other,905
20236028,False,False,False,Other,906
20231088,False,False,False,Other,907
20231189,False,False,True,Articulated Truck,908
20232156,False,False,False,Other,909
20233100,False,False,False,Other,910
20231103,False,False,False,Other,911
20232192,False,False,True,Articulated Truck,912
20233056,False,False,False,Other,913
20231091,False,False,True,Articulated Truck,914
20232211,False,False,False,Other,915
20231104,False,False,False,Other,916
20231155,False,False,False,Other,917
20232098,False,False,True,Articulated Truck,918
20232128,False,False,True,Articulated Truck,919
20233085,False,False,False,Other,920
20234027,False,False,False,Other,921
20232061,False,False,True,Articulated Truck,922
20234033,False,False,False,Other,923
20232044,False,False,False,Other,924
20232250,False,False,False,Other,925
20233231,False,False,False,Other,926
20231020,False,False,False,Other,927
20231115,False,False,False,Other,928
20231038,False,False,False,Other,929
20231108,False,False,False,Other,930
20231281,False,False,False,Other,931
20233078,False,False,False,Other,932
20231261,False,False,False,Other,933
20233258,False,False,False,Other,934
20236009,False,False,False,Other,935
20232237,False,False,False,Other,936
20232188,False,False,False,Other,937
20233165,False,False,False,Other,938
20231098,False,False,False,Other,939
20234029,False,False,False,Other,940
20231102,False,False,False,Other,941
20231198,False,False,False,Other,942
20231129,False,False,False,Other,943
20231231,False,False,False,Other,944
20233120,False,False,False,Other,945
20232196,False,False,False,Other,946
20234053,False,False,False,Other,947
20232240,False,False,False,Other,948
20231095,False,False,False,Other,949
20232119,False,False,False,Other,950
20232243,False,False,False,Other,951
20234042,False,False,False,Other,952
